RowID,County-Parish,State,Indicator,Date,Year,IndicatorValue
116,Tarrant County,TX,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2012 0:00,2012,0.95
117,Wake County,NC,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2012 0:00,2012,0.99
118,Fulton County,GA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2012 0:00,2012,0.97
119,East Baton Rouge Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2012 0:00,2012,0.98
120,Benchmark Average,,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2012 0:00,2012,0.96
121,Orleans Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2013 0:00,2013,1
122,Oklahoma County,OK,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2013 0:00,2013,0.99
123,Hillsborough County,FL,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2013 0:00,2013,0.99
124,Miami-Dade County,LF,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2013 0:00,2013,1
125,Shelby County,TN,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2013 0:00,2013,1
126,Jefferson County,KY,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2013 0:00,2013,0.94
127,Davidson County,TN,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2013 0:00,2013,1
128,Tarrant County,TX,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2013 0:00,2013,0.94
129,Wake County,NC,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2013 0:00,2013,1
130,Fulton County,GA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2013 0:00,2013,1
131,East Baton Rouge Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2013 0:00,2013,0.99
132,Benchmark Average,,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2013 0:00,2013,0.98
133,Orleans Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2014 0:00,2014,1
134,Oklahoma County,OK,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2014 0:00,2014,1
135,Hillsborough County,FL,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2014 0:00,2014,1
136,Miami-Dade County,LF,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2014 0:00,2014,1
137,Shelby County,TN,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2014 0:00,2014,0.99
138,Jefferson County,KY,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2014 0:00,2014,0.9
139,Davidson County,TN,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2014 0:00,2014,1
140,Tarrant County,TX,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2014 0:00,2014,0.98
141,Wake County,NC,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2014 0:00,2014,1
142,Fulton County,GA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2014 0:00,2014,1
143,East Baton Rouge Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2014 0:00,2014,0.99
144,Benchmark Average,,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2014 0:00,2014,0.99
